Name,Longitude,Main_Cuisine,Latitude,Address,District_Code,Cuisine,Type_Code,Info_Code,Exp_Date,Location_Tag,Sub_Cuisine,Price_Range,YYYYMM
#湯o雞,114.12762,Thai,22.3581,"SHOP 302A, 3/F, KWAI CHUNG PLAZA, 7-11 KWAI FOO ROAD, KWAI CHUNG, NEW TERRITORIES",91,"Thai, Seafood",RR,,2025-02-09,Causeway Bay,Seafood,$101-200,202501
% Arabica,113.93074,,22.30324,"UNITS 6E813 & 6E820, L6/F, DEPARTURE HALL T1, HONG KONG INTERNATIONAL AIRPORT, LANTAU ISLAND, HONG KONG",17,,RR,,2025-06-12,,,,202501
%ARABICA,114.14997,,22.27124,"SHOP G17, LEVEL G OF THE PEAK TOWER, 128 PEAK ROAD, HONG KONG",18,,RR,,2025-01-15,,,,202501
& YOU,114.26641,Thai,22.31717,"SHOP E151, 1/F, EAST WING, TKO GATEWAY, HAU TAK ESTATE, SHEUNG NING ROAD, TSEUNG KWAN O, SAI KUNG, NEW TERRITORIES",98,"Thai, Seafood",RL,,2025-09-27,Causeway Bay,Seafood,$101-200,202501
&BTR,114.21734,Thai,22.28676,"SHOP NO. 136, LEVEL 1, CITYPLAZA 2, 18 TAIKOO SHING ROAD, TAIKOO SHING, ISLAND EAST, HONG KONG",11,"Thai, Seafood",RL,,2025-02-15,Causeway Bay,Seafood,$101-200,202501
&You,113.99779,Thai,22.46138,"SHOP NO. SG16, G/F, T TOWN SOUTH, 30 TIN WAH ROAD, TIN SHUI WAI, YUEN LONG, NEW TERRITORIES",94,"Thai, Seafood",RL,,2025-05-23,Causeway Bay,Seafood,$101-200,202501
&you,114.19419,Thai,22.34133,"SHOP G4D, G/F, TEMPLE MALL SOUTH, 103 CHING TAK STREET, WONG TAI SIN, KOWLOON",53,"Thai, Seafood",RL,,2025-12-19,Causeway Bay,Seafood,$101-200,202501
+886台味飯桌仔,114.17785,Taiwan,22.3759,"SHOP A, G/F, LUNG FUNG HOUSE, 15-17 CHIK FU STREET, 15-19 CHIK TAK LANE, TAI WAI, SHA TIN, NEW TERRITORIES",97,,RL,,2025-08-01,Tai Wai,,$51-100,202501
--,114.02914,Hong Kong Style,22.20798,"G/F., NO. 95 HING LUNG MAIN STREET, CHEUNG CHAU, HONG KONG",17,BBQ,RL,,2025-03-17,Kwun Tong,BBQ,$201-400,202501
--,114.14244,Hong Kong Style,22.28591,"G/F, 26 CENTRE STREET, SAI YING PUN, HONG KONG",18,BBQ,RL,,2025-03-16,Kwun Tong,BBQ,$201-400,202501
--,114.17107,Hong Kong Style,22.2778,"G/F., 69 HENNESSY ROAD, WAN CHAI, HONG KONG",12,BBQ,RR,,2025-03-17,Kwun Tong,BBQ,$201-400,202501
--,114.18247,Hong Kong Style,22.27828,"SHOP 1301, 13/F., TIMES SQUARE, 1 MATHESON STREET, CAUSEWAY BAY, HONG KONG",12,BBQ,RL,,2025-03-29,Kwun Tong,BBQ,$201-400,202501
--,114.18388,Hong Kong Style,22.28136,"SHOP B04, BASEMENT FLOOR, TOWER 535, NO. 535 JAFFE ROAD, CAUSEWAY BAY, HONG KONG",12,BBQ,RL,,2025-02-06,Kwun Tong,BBQ,$201-400,202501
--,114.19118,Hong Kong Style,22.28496,"SHOP C, G/F, MAYSON GARDEN BUILDING, 2A-2E WING HING STREET, HONG KONG",12,BBQ,RL,,2025-03-17,Kwun Tong,BBQ,$201-400,202501
--,114.19728,Hong Kong Style,22.29209,"SHOP 5-6, G/F, NGAN FAI BUILDING, 84, 84A, 86-94 & 94A WHARF ROAD, NORTH POINT, HONG KONG",11,BBQ,RL,,2025-03-15,Kwun Tong,BBQ,$201-400,202501
---,113.96675,Hong Kong Style,22.37257,"SHOP NOS. 17 & 96, OCEAN WALK, 168-236 WU CHUI ROAD, TUEN MUN, NEW TERRITORIES",93,BBQ,RL,,2025-10-22,Kwun Tong,BBQ,$201-400,202501
---,114.02531,Hong Kong Style,22.4421,"SHOP 7, G/F, ON NING BUILDING, 20-30B MA TIN ROAD, YUEN LONG, NEW TERRITORIES",94,BBQ,RL,#G#H,2025-08-17,Kwun Tong,BBQ,$201-400,202501
---,114.12864,Hong Kong Style,22.50406,"SHOP A, B, C, D, G/F, 16 FU HING STREET, SHEUNG SHUI, NEW TERRITORIES",96,BBQ,RR,,2025-08-10,Kwun Tong,BBQ,$201-400,202501
---,114.17002,Hong Kong Style,22.31998,"1/F, FORTUNE CREST, 138 SAI YEUNG CHOI STREET SOUTH, MONG KOK, KOWLOON",62,BBQ,RL,,2026-01-14,Kwun Tong,BBQ,$201-400,202501
/,114.22633,Western,22.31094,"SHOP NOS. 23 & 23A, G/F, E PLAZA, LEGEND TOWER, 7 SHING YIP STREET, KWUN TONG, KOWLOON",51,"Western, All Day Breakfast",RR,,2025-05-01,Wan Chai,All Day Breakfast,$51-100,202501
/,114.22941,Western,22.32075,"SHOP 217A, 2/F, HIU LAI SHOPPING CENTRE, HIU LAI COURT, HIU KWONG STREET, SAU MAU PING, KOWLOON",51,"Western, All Day Breakfast",RR,,2025-03-06,Wan Chai,All Day Breakfast,$51-100,202501
001 Company Limited,114.15446,Japanese,22.28112,"SHOP 10 & 13-101, 1/F.,  SUPERINTENDENT'S HOUSE AND C HALL,  CENTRAL POLICE STATION, NO. 10 HOLLYWOOD ROAD, CENTRAL, HONG KONG",18,"Japanese, Western",RL,,2025-01-18,Western District,Western,$201-400,202501
02 PUB,114.16998,Western,22.31164,"G/F & C/L, 262-264 TEMPLE STREET, JORDAN, KOWLOON",61,International,RL,#C,2025-03-04,Tin Hau,Wine,$201-400,202501
1+2冰室豬扒專門店,113.97133,Hong Kong Style,22.4006,"SHOP NO. 8 & 9A, G/F, HONG TAK GARDENS, 11 SHEK PAI TAU ROAD, TUEN MUN, NEW TERRITORIES",93,Tea Restaurant,RL,,2026-01-29,Tuen Mun,Tea Restaurant,Below $50,202501
1+2雞煲美食坊,113.97487,Mainland China,22.39528,"SHOP 4, G/F, HOI SHING BUILDING, 18 TAK CHING COURT, TUEN MUN, NEW TERRITORIES",93,,RL,,2025-06-19,Tuen Mun,Chicken Hot Pot,$101-200,202501
10 Shanghai,114.18561,Mainland China,22.27864,"SHOP NO. 101, 1/F., LEE GARDENS TWO, 28 YUN PING ROAD, CAUSEWAY BAY, HONG KONG",12,Stir-Fry,RL,,2025-08-05,Causeway Bay,Stir-Fry,$201-400,202501
100 C,114.16858,Western,22.4471,"SHOP K, G/F, KWONG ON BUILDING, 20-26 WAN TAU STREET, TAI PO, NEW TERRITORIES",95,Western,RR,,2025-05-27,Tsim Sha Tsui,Cake,$101-200,202501
101,114.18179,Taiwan,22.27893,"29/F., SOUNDWILL PLAZA II - MIDTOWN, 1-23 TANG LUNG STREET, CAUSEWAY BAY, HONG KONG",12,,RL,,2025-08-06,Causeway Bay,Hot Pot,$201-400,202501
101 BINARY,114.19231,Western,22.28459,"G/F., 16 TSING FUNG STREET, TIN HAU, HONG KONG",12,International,RL,,2025-10-22,Tin Hau,Coffee Shop,$101-200,202501
101Taiwanese Cafe,114.10782,Hong Kong Style,22.35927,"SHOP UNIT G30, LEVEL G, MARITIME SQUARE, TSING YI, NEW TERRITORIES",91,,RL,,2025-06-20,Tsing Yi,Taiwan,$51-100,202501
105冰室,114.15894,Hong Kong Style,22.44923,"G/F, 105 KAM SHEK NEW VILLAGE, TAI PO, NEW TERRITORIES",95,Tea Restaurant,RL,,2025-03-20,Tai Po,Tea Restaurant,Below $50,202501
11 Westside,113.92936,Japanese,22.36495,"1/F., AND THE OUTSIDE SEATING ACCOMMODATION ON FLAT ROOF AT 1/F., THE HUDSON, 11 DAVIS STREET, KENNEDY TOWN, HONG KONG",18,Japanese,RL,#A#G,2025-04-10,Western District,Skewer,$201-400,202501
