Name,Longitude,Main_Cuisine,Latitude,Address,District_Code,Cuisine,Type_Code,Info_Code,Exp_Date,Location_Tag,Sub_Cuisine,Price_Range,YYYYMM
% ARABICA,114.15216,,22.28302,"G/F., 28 ABERDEEN ST, NO. 28 ABERDEEN STREET, CENTRAL, HONG KONG",18,,RL,,2022-11-10,,,,202201
& Green,114.18635,Thai,22.30367,"SHOP 1B, G/F., HARBOUR PLACE, 8 OI KING STREET, HUNG HOM, KOWLOON",52,"Thai, Seafood",RR,,2022-06-13,Causeway Bay,Seafood,$101-200,202201
&BTR,114.21734,Thai,22.28676,"SHOP NO. 136, LEVEL 1, CITYPLAZA 2, 18 TAIKOO SHING ROAD, TAIKOO SHING, ISLAND EAST, HONG KONG",11,"Thai, Seafood",RL,,2022-02-15,Causeway Bay,Seafood,$101-200,202201
&You,113.99779,Thai,22.46138,"SHOP NO. SG16, G/F, T TOWN SOUTH, 30 TIN WAH ROAD, TIN SHUI WAI, YUEN LONG, NEW TERRITORIES",94,"Thai, Seafood",RL,,2022-06-08,Causeway Bay,Seafood,$101-200,202201
---,113.96675,Hong Kong Style,22.37257,"SHOP NOS. 17 & 96, OCEAN WALK, 168-236 WU CHUI ROAD, TUEN MUN, NEW TERRITORIES",93,BBQ,RL,,2022-10-22,Kwun Tong,BBQ,$201-400,202201
---,114.02531,Hong Kong Style,22.4421,"SHOP 7, G/F, ON NING BUILDING, 20-30B MA TIN ROAD, YUEN LONG, NEW TERRITORIES",94,BBQ,RL,#G#H,2022-08-17,Kwun Tong,BBQ,$201-400,202201
---,114.12864,Hong Kong Style,22.50406,"SHOP A, B, C, D, G/F, 16 FU HING STREET, SHEUNG SHUI, NEW TERRITORIES",96,BBQ,RR,,2022-08-10,Kwun Tong,BBQ,$201-400,202201
---,114.17002,Hong Kong Style,22.31998,"1/F, FORTUNE CREST, 138 SAI YEUNG CHOI STREET SOUTH, MONG KOK, KOWLOON",62,BBQ,RL,,2023-01-14,Kwun Tong,BBQ,$201-400,202201
---,114.20534,Hong Kong Style,22.3819,"STALL NOS. 33, 34 AND 35, G/F, YU CHUI LUCKY MARKET, YU CHUI SHOPPING CENTRE, YU CHUI COURT, SHA TIN, NEW TERRITORIES",97,BBQ,RL,,2022-09-07,Kwun Tong,BBQ,$201-400,202201
.TAPS,114.27187,,22.3795,"G/F, NO. 34 SEE CHEUNG STREET, SAI KUNG, NEW TERRITORIES",98,,RR,,2022-05-14,,,,202201
/,114.22633,Western,22.31094,"SHOP NOS. 23 & 23A, G/F, E PLAZA, LEGEND TOWER, 7 SHING YIP STREET, KWUN TONG, KOWLOON",51,"Western, All Day Breakfast",RR,,2022-05-01,Wan Chai,All Day Breakfast,$51-100,202201
/,114.22941,Western,22.32075,"SHOP 217A, 2/F, HIU LAI SHOPPING CENTRE, HIU LAI COURT, HIU KWONG STREET, SAU MAU PING, KOWLOON",51,"Western, All Day Breakfast",RR,,2022-03-06,Wan Chai,All Day Breakfast,$51-100,202201
001 Company Limited,114.20959,Japanese,22.29144,"SHOP G1 OF LOWER G/F AND SHOP G2 OF UPPER G/F., WELLEY BUILDING, 97 WELLINGTON STREET, CENTRAL, HONG KONG",18,"Japanese, Western",RR,,2022-06-26,Western District,Western,$201-400,202201
02 PUB,114.16998,Western,22.31164,"G/F & C/L, 262-264 TEMPLE STREET, JORDAN, KOWLOON",61,International,RL,#C,2022-03-04,Tin Hau,Wine,$201-400,202201
1+2冰室豬扒專門店,113.97133,Hong Kong Style,22.4006,"SHOP NO. 8 & 9A, G/F, HONG TAK GARDENS, 11 SHEK PAI TAU ROAD, TUEN MUN, NEW TERRITORIES",93,Tea Restaurant,RL,,2023-01-29,Tuen Mun,Tea Restaurant,Below $50,202201
1+2雞煲美食坊,113.97487,Mainland China,22.39528,"SHOP 4, G/F, HOI SHING BUILDING, 18 TAK CHING COURT, TUEN MUN, NEW TERRITORIES",93,,RL,,2022-06-19,Tuen Mun,Chicken Hot Pot,$101-200,202201
1/16 Coffee Co,114.15465,Western,22.28261,"SHOP 1, LG/F., 1 LYNDHURST TOWER, NO. 1 LYNDHURST TERRACE, NO. 78 WELLINGTON STREET, CENTRAL, HONG KONG",18,Western,RR,,2022-10-07,Cheung Sha Wan,Coffee Shop,$51-100,202201
10 ST. FRANCIS,114.16944,Western,22.27608,"G/F., 10 ST. FRANCIS STREET, WANCHAI, HONG KONG",12,Western,RR,,2022-05-23,Wan Chai,Wine,$101-200,202201
10 Shanghai,114.18561,Mainland China,22.27864,"SHOP NO. 101, 1/F., LEE GARDENS TWO, 28 YUN PING ROAD, CAUSEWAY BAY, HONG KONG",12,Stir-Fry,RL,,2022-08-05,Causeway Bay,Stir-Fry,$201-400,202201
100 C,114.16858,Western,22.4471,"SHOP K, G/F, KWONG ON BUILDING, 20-26 WAN TAU STREET, TAI PO, NEW TERRITORIES",95,Western,RR,,2022-05-27,Tsim Sha Tsui,Cake,$101-200,202201
100米/麻豆子,114.16862,Taiwan,22.45522,"SHOP F11-F12, PODIUM FLOOR, TAI YUEN SHOPPING CENTRE, TAI YUEN ESTATE, 10 TING KOK ROAD, TAI PO, NEW TERRITORIES",95,,RL,,2022-12-02,Kwun Tong,Taiwanese Drink,$51-100,202201
101,114.18179,Taiwan,22.27893,"29/F., SOUNDWILL PLAZA II - MIDTOWN, 1-23 TANG LUNG STREET, CAUSEWAY BAY, HONG KONG",12,,RL,,2022-08-06,Causeway Bay,Hot Pot,$201-400,202201
101 TAIWANESE RESTAURANT,114.11759,,22.37057,"SHOP NO. G027, G/F, KOLOUR．TSUEN WAN I, 68 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES",92,,RL,,2022-01-29,,,,202201
101 Taiwanese Cuisine,114.16966,Hong Kong Style,22.32177,"G/F, 208 SAI YEUNG CHOI STREET SOUTH, MONG KOK, KOWLOON",62,,RL,,2022-09-07,Tsing Yi,Taiwan,$51-100,202201
101 肉燥飯專門店,113.97449,Hong Kong Style,22.39785,"SHOP B, G/F, MAI KEI BUILDING, 146 HO PONG STREET, TUEN MUN, NEW TERRITORIES",93,,RL,,2022-03-17,Tsing Yi,Taiwan,$51-100,202201
