Name,Longitude,Main_Cuisine,Latitude,Address,District_Code,Cuisine,Type_Code,Info_Code,Exp_Date,Location_Tag,Sub_Cuisine,Price_Range,YYYYMM
'TAI HING,114.17723,Hong Kong Style,22.27905,"SHOP 1-3, G/F, CIGNA TOWER, 470-484 JAFFE ROAD, WAN CHAI, HONG KONG",12,Chinese BBQ,RL,,2016-02-14,Aberdeen,Chinese BBQ,$51-100,201601
---,113.96675,Hong Kong Style,22.37257,"SHOP NOS. 17 & 96, OCEAN WALK, 168-236 WU CHUI ROAD, TUEN MUN, NEW TERRITORIES",93,BBQ,RL,,2016-10-22,Kwun Tong,BBQ,$201-400,201601
---,114.02335,Hong Kong Style,22.43814,"G/F, 453B MA TIN TSUEN, SHAP PAT HEUNG, YUEN LONG, NEW TERRITORIES",94,BBQ,RL,,2016-11-22,Kwun Tong,BBQ,$201-400,201601
---,114.02531,Hong Kong Style,22.4421,"SHOP 7, G/F, ON NING BUILDING, 20-30B MA TIN ROAD, YUEN LONG, NEW TERRITORIES",94,BBQ,RL,#G#H,2016-08-17,Kwun Tong,BBQ,$201-400,201601
---,114.02773,Hong Kong Style,22.44335,"G/F, 23B HONG KING STREET, YUEN LONG, NEW TERRITORIES",94,BBQ,RL,,2016-02-16,Kwun Tong,BBQ,$201-400,201601
---,114.02934,Hong Kong Style,22.44621,"SHOP A1, G/F, KOON WONG MANSION 2-18 YUEN LONG ON NING ROAD, YUEN LONG, NEW TERRITORIES",94,BBQ,RL,,2016-02-06,Kwun Tong,BBQ,$201-400,201601
---,114.03071,Hong Kong Style,22.44167,"SHOP NO. 31B, G/F, HOP YICK CENTRE, 17-53 HOP YICK ROAD, YUEN LONG, NEW TERRITORIES",94,BBQ,RL,,2016-10-07,Kwun Tong,BBQ,$201-400,201601
---,114.03368,Hong Kong Style,22.44199,"SHOP 20, G/F, HO SHUN KING BUILDING, 3 FUNG YAU STREET SOUTH, YUEN LONG, NEW TERRITORIES",94,BBQ,RR,,2016-01-20,Kwun Tong,BBQ,$201-400,201601
---,114.05932,Hong Kong Style,22.35162,"G/F, 9 MA WAN MAIN STREET VILLAGE EAST, MA WAN, TSUEN WAN, NEW TERRITORIES",92,BBQ,RR,,2016-03-01,Kwun Tong,BBQ,$201-400,201601
---,114.12179,Hong Kong Style,22.3692,"SHOP NO. 66, G/F, PODIUM B, WEALTHY GARDEN, 12-28 TSUEN FU STREET, TSUEN WAN, NEW TERRITORIES",92,BBQ,RR,,2016-03-16,Kwun Tong,BBQ,$201-400,201601
---,114.12864,Hong Kong Style,22.50406,"SHOP A, B, C, D, G/F, 16 FU HING STREET, SHEUNG SHUI, NEW TERRITORIES",96,BBQ,RR,,2016-08-10,Kwun Tong,BBQ,$201-400,201601
---,114.17002,Hong Kong Style,22.31998,"1/F, FORTUNE CREST, 138 SAI YEUNG CHOI STREET SOUTH, MONG KOK, KOWLOON",62,BBQ,RL,,2017-01-14,Kwun Tong,BBQ,$201-400,201601
---,114.17192,Hong Kong Style,22.36343,"SHOP NO. 117, G/F, HIN KENG SHOPPING CENTRE, HIN KENG ESTATE, 69 CHE KUNG MIU ROAD, SHA TIN, NEW TERRITORIES",97,BBQ,RR,,2016-08-31,Kwun Tong,BBQ,$201-400,201601
---,114.20534,Hong Kong Style,22.3819,"STALL NOS. 33, 34 AND 35, G/F, YU CHUI LUCKY MARKET, YU CHUI SHOPPING CENTRE, YU CHUI COURT, SHA TIN, NEW TERRITORIES",97,BBQ,RL,,2016-09-07,Kwun Tong,BBQ,$201-400,201601
---           /   HK Diner,114.00468,Hong Kong Style,22.45704,"SHOP G01C, G/F, PHASE 2, KINGSWOOD GINZA, 12-18 TIN YAN ROAD, TIN SHUI WAI, YUEN LONG, NEW TERRITORIES",94,Tea Restaurant,RL,,2016-08-11,Wong Tai Sin,Tea Restaurant,$51-100,201601
0.5 Degree,114.19189,Japanese,22.27823,"SHOP B, G/F., 12-13 SHEPHERD STREET, TAI HANG, HONG KONG",12,Japanese,RL,#G#H,2016-07-10,Central,Peruvian,$401-800,201601
001 Company Limited,114.20959,Japanese,22.29144,"SHOP G1 OF LOWER G/F AND SHOP G2 OF UPPER G/F., WELLEY BUILDING, 97 WELLINGTON STREET, CENTRAL, HONG KONG",18,"Japanese, Western",RR,,2016-06-26,Western District,Western,$201-400,201601
02 PUB,114.16998,Western,22.31164,"G/F & C/L, 262-264 TEMPLE STREET, JORDAN, KOWLOON",61,International,RL,#C,2016-03-04,Tin Hau,Wine,$201-400,201601
03 By Oyster 3,114.21734,Western,22.28676,"5/F (PORTION A), CITYPLAZA 1, 18 TAIKOO SHING ROAD, TAIKOO SHING, HONG KONG",11,Western,RR,,2016-10-14,Kwun Tong,Upper-floor Cafe,$101-200,201601
10 ST. FRANCIS,114.16944,Western,22.27608,"G/F., 10 ST. FRANCIS STREET, WANCHAI, HONG KONG",12,Western,RR,,2016-05-23,Wan Chai,Wine,$101-200,201601
100米,114.10288,Hong Kong Style,22.36324,"SHOP 211, 2/F, CHEUNG FAT SHOPPING CENTRE, CHEUNG FAT ESTATE, 6 TAM KON SHAN ROAD, TSING YI, NEW TERRITORIES",91,Noodles/Rice Noodles,RL,,2016-02-15,Wan Chai,Noodles/Rice Noodles,$101-200,201601
100米,114.1667,Hong Kong Style,22.45314,"SHOP NO. 14, G/F, SHOPPING MALL, TREASURE GARDEN, 1 ON CHEE ROAD, TAI PO, NEW TERRITORIES",95,Noodles/Rice Noodles,RL,,2016-04-10,Wan Chai,Noodles/Rice Noodles,$101-200,201601
101 Taiwanese Cuisine,114.16966,Hong Kong Style,22.32177,"G/F, 208 SAI YEUNG CHOI STREET SOUTH, MONG KOK, KOWLOON",62,,RL,,2016-09-07,Tsing Yi,Taiwan,$51-100,201601
101 肉燥飯專門店,113.97449,Hong Kong Style,22.39785,"SHOP B, G/F, MAI KEI BUILDING, 146 HO PONG STREET, TUEN MUN, NEW TERRITORIES",93,,RL,,2016-03-17,Tsing Yi,Taiwan,$51-100,201601
101肉燥飯專門店,114.17093,Hong Kong Style,22.31565,"2/F, 2W SAI YEUNG CHOI STREET SOUTH, MONG KOK, KOWLOON",62,,RL,,2016-02-09,Tsing Yi,Taiwan,$51-100,201601
101肉燥飯專門店,114.17409,Hong Kong Style,22.29966,"G/F, 10A HAU FOOK STREET, TSIM SHA TSUI, KOWLOON",61,,RL,,2016-06-17,Tsing Yi,Taiwan,$51-100,201601
119 PLUS,114.15354,Western,22.28531,"SHOP NO. 201, 2/F., LOW BLOCK, GRAND MILLENNIUM PLAZA, 181 QUEEN'S ROAD CENTRAL, SHEUNG WAN, HONG KONG",18,Western,RL,,2016-05-30,Yuen Long,,$201-400,201601
121 BC,114.1528,,22.28263,"G/F., 42-44 PEEL STREET, CENTRAL, HONG KONG",18,,RL,,2016-08-09,,,,201601
121AD,114.1528,Hong Kong Style,22.28263,"SHOP D, UG/F, FELICITY BUILDING, 54-54A HOLLYWOOD ROAD, 56-56A HOLLYWOOD ROAD, 58 HOLLYWOOD ROAD, 38-44 PEEL STREET, HONG KONG",18,Western,RR,,2016-11-29,Jordan,Western,$51-100,201601
128 特式小食店,114.13807,Hong Kong Style,22.33708,"SHOP NO. 28A, PODIUM FLOOR, MEI FOO SUN CHUEN, 15 BROADWAY STREET, SHAM SHUI PO, KOWLOON",63,,RR,,2016-09-16,Mei Foo,,Below $50,201601
133 LOUNGE,114.16862,Western,22.44812,"G/F, 133 KWONG FUK ROAD, TAI PO, NEW TERRITORIES",95,Western,RR,,2016-06-30,Tai Po,,$101-200,201601
138吧,114.16957,Hong Kong Style,22.31563,"1/F, MAX COMMERCIAL BUILDING, NO. 138 PORTLAND STREET, MONG KOK, KOWLOON",62,,RR,,2016-03-26,Mong Kok,Wine,Below $50,201601
13E,114.1827,Western,22.28071,"13/F, EVERNEW HOUSE, 485 LOCKHART ROAD, WAN CHAI, HONG KONG",12,Western,RR,,2016-05-29,Cheung Sha Wan,Coffee Shop,$51-100,201601
