Name,Longitude,Main_Cuisine,Latitude,Address,District_Code,Cuisine,Type_Code,Info_Code,Exp_Date,Location_Tag,Sub_Cuisine,Price_Range,YYYYMM
天天食店,114.03076,,22.44406,"SHOP NO. 15, G/F, WANG FUNG BUILDING, FAU TSOI STREET, YUEN LONG, NEW TERRITORIES",94,,RR,,2019-06-30,,,,201901
天寶,114.13464,Japanese,22.37818,"NO. 1-2, BLOCK 2, LEI MUK SHUE ESTATE, G/F., KWAI CHUNG, NEW TERRITORIES",92,"Japanese, Teppanyaki",RL,,2019-03-09,Sheung Wan,Teppanyaki,Above $801,201901
天寶閣,114.17268,Mainland China,22.29522,"SHOP F, 2/F(PORTION), SHERATON HONG KONG HOTEL, 20 NATHAN ROAD, TSIM SHA TSUI, KOWLOON",61,Guangdong,RL,,2019-06-30,Tsim Sha Tsui,Fine Dried Seafood,$201-400,201901
天山,113.97698,Mainland China,22.39613,"NO. 28, G/F, HANG FOOK BLDG, KEI LUN PATH, YAN OI TONG CIRCUIT, TUEN MUN, NEW TERRITORIES",93,,RR,,2019-06-30,North Point,,$51-100,201901
天山小館,114.19237,Mainland China,22.28598,"SHOP A, G/F., HOI SUN BUILDING, 12 MERCURY STREET, NORTH POINT, HONG KONG",12,,RL,,2019-07-22,North Point,,$51-100,201901
天府人家,114.17194,Mainland China,22.27846,"WHOLE OF 3/F., ONE CAPITAL PLACE, 18 LUARD ROAD, WAN CHAI, HONG KONG",12,,RL,,2019-11-26,Wan Chai,Hot Pot,$101-200,201901
天廚慈航齋素,114.16346,,22.3204,"SHOP 1 & 2, G/F, KAMGA MANSION, 2-16 PINE STREET, TAI KOK TSUI, MONG KOK, KOWLOON",62,,RL,,2019-09-17,,,,201901
天廚菜館,113.94115,Mainland China,22.27984,"G/F., DD 3, LOT 2486, MA WAN VILLAGE, PA MEI ROAD, TUNG CHUNG, LANTAU ISLAND, NEW TERRITORIES",17,"Guangdong, Seafood",RL,,2019-10-07,Tung Chung,Seafood,Below $50,201901
天恩健康素食,114.11992,,22.37135,"SHOP 45 & 62, 1/F, CHEONG ON BUILDING, 186-200 SAI LAU KOK ROAD, TSUEN WAN, NEW TERRITORIES",92,,RL,,2019-07-12,,,,201901
天悅海鮮火鍋,113.96073,Mainland China,22.37528,"SHOP NOS.7-23&28-34, G/F, AREA 28B, MELODY GARDEN COMMERCIAL COMPLEX, TMTL 210, TUEN MUN, NEW TERRITORIES",93,Guangdong,RL,,2019-06-30,Tuen Mun,Hot Pot,$51-100,201901
天悅海鮮火鍋,113.97979,Mainland China,22.38773,"SHOP NOS. 59-64, G/F, TMTL 156, CHI LOK FA YUEN, TUEN MUN, NEW TERRITORIES",93,Guangdong,RL,,2019-11-20,Tuen Mun,Hot Pot,$51-100,201901
天會88,114.11228,Mainland China,22.37185,"G/F, 170 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",92,"Guangdong, Stir-Fry",RR,,2019-10-23,Tsuen Wan,Stir-Fry,$101-200,201901
天月居,114.13281,Japanese,22.3621,"SHOP M03, LEVEL 2 MEZZANINE OF THE RETAIL ACCOMMODATION, KOWLOON COMMERCE CENTRE , 51 KWAI CHEONG ROAD, KWAI CHUNG, NEW TERRITORIES",91,Japanese,RL,,2019-04-29,Kwai Chung,Udon,$51-100,201901
天月居,114.16848,Japanese,22.44691,"SHOP B1-B, GROUND FLOOR, MEE WAH BUILDING, 12-18 WAN TAU STREET, TAI PO, NEW TERRITORIES",95,Japanese,RR,,2019-08-21,Kwai Chung,Udon,$51-100,201901
天樂餐廳,114.02279,Western,22.20359,"G/F AND OUTSIDE SEATING ACCOMMODATION ON PAVEMENT AT SHOP FRONT, 11 TAI HING TAI ROAD, CHEUNG CHAU, NEW TERRITORIES",17,Western,RL,#A,2019-06-25,Western District,,$51-100,201901
